tipo;algoritmo;linguagem;variante;tamanho;execucao;energia_j;energia_j_desvio;energia_cores_j;energia_ram_j;duracao_s;duracao_s_desvio;user_time_s;system_time_s;potencia_w;energia_por_elemento_j
exec;bolha;rust;v1;50000;3;30,460000;NA;21,790000;5,530000;5,193905;NA;5,186000;0,004000;5,8646;0,000609200
exec;bolha;rust;v1;50000;4;33,250000;NA;24,180000;6,900000;5,344233;NA;5,338000;0,004000;6,2217;0,000665000
exec;bolha;rust;v1;50000;5;33,780000;NA;24,640000;6,980000;5,351514;NA;5,336000;0,012000;6,3122;0,000675600
exec;bolha;rust;v1;50000;6;32,490000;NA;23,490000;6,430000;5,304340;NA;5,280000;0,020000;6,1252;0,000649800
exec;bolha;rust;v1;50000;7;30,190000;NA;21,640000;5,550000;5,191772;NA;5,186000;0,004000;5,8150;0,000603800
exec;bolha;rust;v1;50000;8;30,650000;NA;22,030000;5,710000;5,211947;NA;5,206000;0,004000;5,8807;0,000613000
exec;bolha;rust;v1;50000;9;30,210000;NA;21,600000;5,550000;5,183757;NA;5,182000;0,000000;5,8278;0,000604200
exec;bolha;rust;v1;50000;10;31,250000;NA;22,480000;5,930000;5,285900;NA;5,284000;0,000000;5,9120;0,000625000
exec;bolha;rust;v1;100000;1;122,300000;NA;87,910000;22,270000;20,806975;NA;20,792000;0,012000;5,8778;0,001223000
exec;bolha;rust;v1;100000;2;121,600000;NA;87,280000;22,100000;20,758386;NA;20,748000;0,008000;5,8579;0,001216000
exec;bolha;rust;v1;100000;3;123,790000;NA;89,050000;22,210000;20,816151;NA;20,807000;0,004000;5,9468;0,001237900
exec;bolha;rust;v1;100000;4;131,400000;NA;95,490000;25,720000;21,214321;NA;21,207000;0,004000;6,1939;0,001314000
exec;bolha;rust;v1;100000;5;121,960000;NA;87,560000;22,380000;20,798824;NA;20,792000;0,004000;5,8638;0,001219600
exec;bolha;rust;v1;100000;6;120,950000;NA;86,700000;22,170000;20,759775;NA;20,757000;0,000000;5,8262;0,001209500
exec;bolha;rust;v1;100000;7;122,290000;NA;87,780000;22,200000;20,770691;NA;20,752000;0,016000;5,8876;0,001222900
exec;bolha;rust;v1;100000;8;122,610000;NA;87,960000;22,400000;20,805562;NA;20,799000;0,004000;5,8931;0,001226100
exec;bolha;rust;v1;100000;9;121,490000;NA;87,100000;22,200000;20,782787;NA;20,770000;0,008000;5,8457;0,001214900
exec;bolha;rust;v1;100000;10;121,700000;NA;87,270000;22,190000;20,787463;NA;20,768000;0,016000;5,8545;0,001217000
exec;bolha;rust;v2;10;1;0,010000;NA;0,010000;0,000000;0,002526;NA;0,001000;0,000000;3,9587;0,001000000
exec;bolha;rust;v2;10;2;0,010000;NA;0,010000;0,000000;0,002592;NA;0,001000;0,000000;3,8577;0,001000000
exec;bolha;rust;v2;10;3;0,010000;NA;0,010000;0,000000;0,002533;NA;0,001000;0,000000;3,9480;0,001000000
exec;bolha;rust;v2;10;4;0,020000;NA;0,010000;0,010000;0,002873;NA;0,001000;0,000000;6,9625;0,002000000
exec;bolha;rust;v2;10;5;0,010000;NA;0,010000;0,000000;0,002659;NA;0,001000;0,000000;3,7611;0,001000000
exec;bolha;rust;v2;10;6;0,020000;NA;0,010000;0,010000;0,002862;NA;0,001000;0,000000;6,9878;0,002000000
exec;bolha;rust;v2;10;7;0,020000;NA;0,010000;0,010000;0,002756;NA;0,001000;0,000000;7,2564;0,002000000
exec;bolha;rust;v2;10;8;0,010000;NA;0,010000;0,000000;0,002725;NA;0,001000;0,000000;3,6692;0,001000000
exec;bolha;rust;v2;10;9;0,020000;NA;0,010000;0,010000;0,002701;NA;0,001000;0,000000;7,4040;0,002000000
exec;bolha;rust;v2;10;10;0,020000;NA;0,010000;0,010000;0,002768;NA;0,001000;0,000000;7,2243;0,002000000
exec;bolha;rust;v2;100;1;0,010000;NA;0,010000;0,000000;0,002500;NA;0,001000;0,000000;4,0004;0,000100000
exec;bolha;rust;v2;100;2;0,010000;NA;0,010000;0,000000;0,002734;NA;0,001000;0,000000;3,6575;0,000100000
exec;bolha;rust;v2;100;3;0,020000;NA;0,010000;0,000000;0,002842;NA;0,001000;0,000000;7,0363;0,000200000
exec;bolha;rust;v2;100;4;0,020000;NA;0,010000;0,010000;0,002662;NA;0,001000;0,000000;7,5131;0,000200000
exec;bolha;rust;v2;100;5;0,020000;NA;0,010000;0,010000;0,002652;NA;0,001000;0,000000;7,5406;0,000200000
exec;bolha;rust;v2;100;6;0,020000;NA;0,010000;0,010000;0,002893;NA;0,001000;0,000000;6,9138;0,000200000
exec;bolha;rust;v2;100;7;0,020000;NA;0,010000;0,010000;0,002796;NA;0,001000;0,000000;7,1539;0,000200000
exec;bolha;rust;v2;100;8;0,020000;NA;0,010000;0,010000;0,002697;NA;0,001000;0,000000;7,4145;0,000200000
exec;bolha;rust;v2;100;9;0,010000;NA;0,010000;0,000000;0,002721;NA;0,001000;0,000000;3,6746;0,000100000
exec;bolha;rust;v2;100;10;0,020000;NA;0,010000;0,010000;0,002770;NA;0,001000;0,000000;7,2212;0,000200000
exec;bolha;rust;v2;1000;1;0,020000;NA;0,020000;0,010000;0,004145;NA;0,003000;0,000000;4,8257;0,000020000
exec;bolha;rust;v2;1000;2;0,020000;NA;0,020000;0,010000;0,004111;NA;0,002000;0,000000;4,8646;0,000020000
exec;bolha;rust;v2;1000;3;0,030000;NA;0,020000;0,010000;0,004268;NA;0,000000;0,003000;7,0289;0,000030000
exec;bolha;rust;v2;1000;4;0,020000;NA;0,020000;0,010000;0,004229;NA;0,000000;0,002000;4,7292;0,000020000
exec;bolha;rust;v2;1000;5;0,030000;NA;0,020000;0,010000;0,004354;NA;0,002000;0,000000;6,8901;0,000030000
exec;bolha;rust;v2;1000;6;0,030000;NA;0,020000;0,010000;0,004300;NA;0,000000;0,002000;6,9764;0,000030000
exec;bolha;rust;v2;1000;7;0,020000;NA;0,020000;0,010000;0,004268;NA;0,002000;0,000000;4,6855;0,000020000
exec;bolha;rust;v2;1000;8;0,020000;NA;0,020000;0,010000;0,004258;NA;0,000000;0,002000;4,6970;0,000020000
