tipo,algoritmo,linguagem,variante,tamanho,execucao,energia_j,energia_cores_j,energia_ram_j,duracao_s,user_time_s,system_time_s,potencia_w,energia_por_elemento_j
exec,bolha,rust,v1,10,1,"0,01","0,01",0,"0,002548","0,001",0,"3,9248","0,001"
exec,bolha,rust,v1,10,2,"0,02","0,01",0,"0,002521","0,001",0,"7,9343","0,002"
exec,bolha,rust,v1,10,3,"0,01","0,01",0,"0,002573","0,001",0,"3,8865","0,001"
exec,bolha,rust,v1,10,4,"0,02","0,01","0,01","0,003458","0,001",0,"5,7841","0,002"
exec,bolha,rust,v1,10,5,"0,02","0,01","0,01","0,002892","0,001",0,"6,9164","0,002"
exec,bolha,rust,v1,10,6,"0,02","0,01","0,01","0,002807","0,001",0,"7,124","0,002"
exec,bolha,rust,v1,10,7,"0,04","0,03","0,01","0,004787","0,001",0,"8,3552","0,004"
exec,bolha,rust,v1,10,8,"0,02","0,01","0,01","0,002787","0,001",0,"7,1774","0,002"
exec,bolha,rust,v1,10,9,"0,01","0,01",0,"0,002758",0,"0,001","3,6255","0,001"
exec,bolha,rust,v1,10,10,"0,02","0,01","0,01","0,002758","0,001",0,"7,2523","0,002"
exec,bolha,rust,v1,100,1,"0,02","0,01",0,"0,002555","0,001",0,"7,8291","0,0002"
exec,bolha,rust,v1,100,2,"0,01","0,01",0,"0,002788","0,001",0,"3,5873","0,0001"
exec,bolha,rust,v1,100,3,"0,01","0,01",0,"0,002656","0,001",0,"3,7649","0,0001"
exec,bolha,rust,v1,100,4,"0,02","0,01","0,01","0,003002",0,"0,001","6,6612","0,0002"
exec,bolha,rust,v1,100,5,"0,02","0,01","0,01","0,002961","0,001",0,"6,754","0,0002"
exec,bolha,rust,v1,100,6,"0,02","0,02","0,01","0,003427","0,002",0,"5,8359","0,0002"
exec,bolha,rust,v1,100,7,"0,02","0,01","0,01","0,0029","0,001",0,"6,8964","0,0002"
exec,bolha,rust,v1,100,8,"0,02","0,01","0,01","0,003031","0,001",0,"6,5996","0,0002"
exec,bolha,rust,v1,100,9,"0,03","0,02","0,02","0,004606",0,"0,002","6,5134","0,0003"
exec,bolha,rust,v1,100,10,"0,02","0,01",0,"0,002814","0,001",0,"7,1083","0,0002"
exec,bolha,rust,v1,1000,1,"0,02","0,02","0,01","0,004726","0,003",0,"4,2322","0,00002"
exec,bolha,rust,v1,1000,2,"0,03","0,02","0,01","0,005176","0,003",0,"5,7958","0,00003"
exec,bolha,rust,v1,1000,3,"0,03","0,02","0,01","0,004951",0,"0,003","6,0593","0,00003"
exec,bolha,rust,v1,1000,4,"0,03","0,02","0,01","0,005208","0,003",0,"5,7606","0,00003"
exec,bolha,rust,v1,1000,5,"0,04","0,03","0,01","0,005621","0,003",0,"7,1166","0,00004"
exec,bolha,rust,v1,1000,6,"0,03","0,02","0,01","0,005082","0,003",0,"5,9033","0,00003"
exec,bolha,rust,v1,1000,7,"0,03","0,02","0,01","0,005076","0,003",0,"5,9102","0,00003"
exec,bolha,rust,v1,1000,8,"0,03","0,02","0,01","0,005125","0,003",0,"5,8539","0,00003"
exec,bolha,rust,v1,1000,9,"0,03","0,02","0,01","0,00505","0,003",0,"5,9407","0,00003"
exec,bolha,rust,v1,1000,10,"0,03","0,02","0,01","0,005161","0,003",0,"5,8123","0,00003"
exec,bolha,rust,v1,10000,1,"1,21","0,85","0,22","0,207457","0,202","0,004","5,8325","0,000121"
exec,bolha,rust,v1,10000,2,"1,21","0,87","0,23","0,210395","0,209",0,"5,7511","0,000121"
exec,bolha,rust,v1,10000,3,"1,2","0,86","0,22","0,209974","0,208",0,"5,715","0,00012"
exec,bolha,rust,v1,10000,4,"1,34","0,98","0,28","0,215377","0,213",0,"6,2216","0,000134"
exec,bolha,rust,v1,10000,5,"1,32","0,96","0,28","0,214786","0,209","0,004","6,1456","0,000132"
exec,bolha,rust,v1,10000,6,"1,34","0,97","0,29","0,217267","0,215",0,"6,1675","0,000134"
exec,bolha,rust,v1,10000,7,"1,35","0,97","0,29","0,214709","0,209","0,004","6,2876","0,000135"
exec,bolha,rust,v1,10000,8,"1,32","0,94","0,27","0,213657","0,208","0,004","6,1781","0,000132"
exec,bolha,rust,v1,10000,9,"1,3","0,94","0,27","0,216226","0,213",0,"6,0122","0,00013"
exec,bolha,rust,v1,10000,10,"1,34","0,98","0,29","0,216417","0,214",0,"6,1917","0,000134"
exec,bolha,rust,v1,50000,1,"30,17","21,62","5,53","5,192306","5,19",0,"5,8105","0,0006034"
exec,bolha,rust,v1,50000,2,"29,94","21,43","5,52","5,185833","5,18","0,004","5,7734","0,0005988"
exec,bolha,rust,v1,50000,3,"30,46","21,79","5,53","5,193905","5,186","0,004","5,8646","0,0006092"
exec,bolha,rust,v1,50000,4,"33,25","24,18","6,9","5,344233","5,338","0,004","6,2217","0,000665"
