tipo;algoritmo;linguagem;variante;tamanho;execucao;energia_j;energia_j_desvio;energia_cores_j;energia_ram_j;duracao_s;duracao_s_desvio;user_time_s;system_time_s;potencia_w;energia_por_elemento_j
exec;insertion;rust;v1;10;9;0,020000;NA;0,010000;0,010000;0,002789;NA;0,001000;0,000000;7,1719;0,002000000
exec;insertion;rust;v1;10;10;0,020000;NA;0,010000;0,010000;0,002939;NA;0,001000;0,000000;6,8049;0,002000000
exec;insertion;rust;v1;100;1;0,010000;NA;0,010000;0,000000;0,002642;NA;0,001000;0,000000;3,7851;0,000100000
exec;insertion;rust;v1;100;2;0,020000;NA;0,010000;0,010000;0,002634;NA;0,001000;0,000000;7,5918;0,000200000
exec;insertion;rust;v1;100;3;0,020000;NA;0,010000;0,010000;0,002710;NA;0,000000;0,001000;7,3795;0,000200000
exec;insertion;rust;v1;100;4;0,020000;NA;0,010000;0,010000;0,002902;NA;0,001000;0,000000;6,8928;0,000200000
exec;insertion;rust;v1;100;5;0,020000;NA;0,010000;0,010000;0,002667;NA;0,001000;0,000000;7,4991;0,000200000
exec;insertion;rust;v1;100;6;0,020000;NA;0,010000;0,010000;0,002905;NA;0,001000;0,000000;6,8836;0,000200000
exec;insertion;rust;v1;100;7;0,020000;NA;0,010000;0,010000;0,002765;NA;0,000000;0,001000;7,2331;0,000200000
exec;insertion;rust;v1;100;8;0,020000;NA;0,010000;0,010000;0,002808;NA;0,001000;0,000000;7,1225;0,000200000
exec;insertion;rust;v1;100;9;0,020000;NA;0,010000;0,010000;0,002971;NA;0,001000;0,000000;6,7324;0,000200000
exec;insertion;rust;v1;100;10;0,010000;NA;0,010000;0,000000;0,002842;NA;0,001000;0,000000;3,5181;0,000100000
exec;insertion;rust;v1;1000;1;0,020000;NA;0,010000;0,000000;0,002974;NA;0,001000;0,000000;6,7253;0,000020000
exec;insertion;rust;v1;1000;2;0,020000;NA;0,010000;0,000000;0,003005;NA;0,002000;0,000000;6,6548;0,000020000
exec;insertion;rust;v1;1000;3;0,020000;NA;0,010000;0,000000;0,003048;NA;0,001000;0,000000;6,5607;0,000020000
exec;insertion;rust;v1;1000;4;0,020000;NA;0,010000;0,000000;0,003038;NA;0,001000;0,000000;6,5834;0,000020000
exec;insertion;rust;v1;1000;5;0,020000;NA;0,010000;0,000000;0,003298;NA;0,000000;0,001000;6,0644;0,000020000
exec;insertion;rust;v1;1000;6;0,020000;NA;0,010000;0,000000;0,003387;NA;0,002000;0,000000;5,9050;0,000020000
exec;insertion;rust;v1;1000;7;0,020000;NA;0,010000;0,000000;0,003120;NA;0,001000;0,000000;6,4098;0,000020000
exec;insertion;rust;v1;1000;8;0,020000;NA;0,010000;0,000000;0,003215;NA;0,002000;0,000000;6,2202;0,000020000
exec;insertion;rust;v1;1000;9;0,020000;NA;0,010000;0,000000;0,003043;NA;0,000000;0,001000;6,5734;0,000020000
exec;insertion;rust;v1;1000;10;0,020000;NA;0,010000;0,010000;0,003089;NA;0,001000;0,000000;6,4746;0,000020000
exec;insertion;rust;v1;10000;1;0,140000;NA;0,090000;0,030000;0,023640;NA;0,022000;0,000000;5,9222;0,000014000
exec;insertion;rust;v1;10000;2;0,130000;NA;0,090000;0,030000;0,023813;NA;0,022000;0,000000;5,4592;0,000013000
exec;insertion;rust;v1;10000;3;0,130000;NA;0,090000;0,030000;0,024128;NA;0,022000;0,000000;5,3880;0,000013000
exec;insertion;rust;v1;10000;4;0,130000;NA;0,090000;0,030000;0,024082;NA;0,019000;0,004000;5,3983;0,000013000
exec;insertion;rust;v1;10000;5;0,130000;NA;0,090000;0,030000;0,023890;NA;0,022000;0,000000;5,4417;0,000013000
exec;insertion;rust;v1;10000;6;0,130000;NA;0,090000;0,030000;0,024018;NA;0,019000;0,004000;5,4127;0,000013000
exec;insertion;rust;v1;10000;7;0,130000;NA;0,090000;0,030000;0,023777;NA;0,022000;0,000000;5,4676;0,000013000
exec;insertion;rust;v1;10000;8;0,170000;NA;0,130000;0,040000;0,025024;NA;0,023000;0,000000;6,7935;0,000017000
exec;insertion;rust;v1;10000;9;0,140000;NA;0,100000;0,030000;0,024607;NA;0,023000;0,000000;5,6894;0,000014000
exec;insertion;rust;v1;10000;10;0,130000;NA;0,090000;0,030000;0,023861;NA;0,022000;0,000000;5,4483;0,000013000
exec;insertion;rust;v1;50000;1;2,890000;NA;2,070000;0,540000;0,500034;NA;0,498000;0,000000;5,7796;0,000057800
exec;insertion;rust;v1;50000;2;2,870000;NA;2,070000;0,540000;0,501970;NA;0,500000;0,000000;5,7175;0,000057400
exec;insertion;rust;v1;50000;3;2,870000;NA;2,060000;0,540000;0,499971;NA;0,498000;0,000000;5,7403;0,000057400
exec;insertion;rust;v1;50000;4;2,890000;NA;2,070000;0,530000;0,499037;NA;0,497000;0,000000;5,7912;0,000057800
exec;insertion;rust;v1;50000;5;2,960000;NA;2,110000;0,540000;0,501597;NA;0,496000;0,004000;5,9012;0,000059200
exec;insertion;rust;v1;50000;6;2,870000;NA;2,070000;0,530000;0,499401;NA;0,494000;0,004000;5,7469;0,000057400
exec;insertion;rust;v1;50000;7;2,880000;NA;2,080000;0,540000;0,500900;NA;0,491000;0,008000;5,7497;0,000057600
exec;insertion;rust;v1;50000;8;2,890000;NA;2,060000;0,540000;0,500049;NA;0,498000;0,000000;5,7794;0,000057800
exec;insertion;rust;v1;50000;9;2,900000;NA;2,070000;0,540000;0,501124;NA;0,499000;0,000000;5,7870;0,000058000
exec;insertion;rust;v1;50000;10;2,880000;NA;2,080000;0,540000;0,501281;NA;0,500000;0,000000;5,7453;0,000057600
exec;insertion;rust;v1;100000;1;11,570000;NA;8,330000;2,120000;1,980944;NA;1,975000;0,004000;5,8407;0,000115700
exec;insertion;rust;v1;100000;2;11,560000;NA;8,330000;2,110000;1,980236;NA;1,975000;0,004000;5,8377;0,000115600
exec;insertion;rust;v1;100000;3;11,640000;NA;8,390000;2,110000;1,978274;NA;1,977000;0,000000;5,8839;0,000116400
exec;insertion;rust;v1;100000;4;11,770000;NA;8,480000;2,120000;1,979184;NA;1,965000;0,012000;5,9469;0,000117700
exec;insertion;rust;v1;100000;5;11,580000;NA;8,340000;2,110000;1,977991;NA;1,968000;0,008000;5,8544;0,000115800
exec;insertion;rust;v1;100000;6;11,630000;NA;8,370000;2,120000;1,979107;NA;1,973000;0,004000;5,8764;0,000116300
exec;insertion;rust;v1;100000;7;11,730000;NA;8,440000;2,130000;1,984222;NA;1,982000;0,000000;5,9116;0,000117300
exec;insertion;rust;v1;100000;8;11,580000;NA;8,340000;2,120000;1,979300;NA;1,965000;0,012000;5,8506;0,000115800
exec;insertion;rust;v1;100000;9;11,640000;NA;8,380000;2,130000;1,983866;NA;1,982000;0,000000;5,8673;0,000116400
